Table,Category,Variable Name,Variable Description,Other Details,
2,Lifestyle and Dietary Recommendations,DR1TCARB,Carbohydrate (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCHL,Total choline (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCHOL,Cholesterol (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCOPP,Copper (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCRYP,Beta-cryptoxanthin (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TFA,Folic acid (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TFDFE,Folate as dietary folate equivalents (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TFF,Food folate (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TFIBE,Dietary fiber (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TFOLA,Total folate (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TIRON,Iron (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TKCAL,Energy (kcal),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TLYCO,Lycopene (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TLZ,Lutein + zeaxanthin (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TM161,MFA 16:1 (Hexadecenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TM181,MFA 18:1 (Octadecenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TM201,MFA 20:1 (Eicosenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TM221,MFA 22:1 (Docosenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TMAGN,Magnesium (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TMFAT,Total monounsaturated fatty acids (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TMOIS,Moisture (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TNIAC,Niacin (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TNUMF,Total number of foods/beverages reported in the individual foods file,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP182,PFA 18:2 (Octadecadienoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP183,PFA 18:3 (Octadecatrienoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP225,PFA 22:5 (Docosapentaenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TP226,PFA 22:6 (Docosahexaenoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TPFAT,Total polyunsaturated fatty acids (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TPHOS,Phosphorus (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TPOTA,Potassium (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TPROT,Protein (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TRET,Retinol (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS040,SFA 4:0 (Butanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS060,SFA 6:0 (Hexanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS080,SFA 8:0 (Octanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS100,SFA 10:0 (Decanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS120,SFA 12:0 (Dodecanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS140,SFA 14:0 (Tetradecanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS160,SFA 16:0 (Hexadecanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TS180,SFA 18:0 (Octadecanoic) (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TSELE,Selenium (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TSFAT,Total saturated fatty acids (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TSODI,Sodium (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TSUGR,Total sugars (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TTFAT,Total fat (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TTHEO,Theobromine (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVARA,Vitamin A as retinol activity equivalents (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVB1,Thiamin (Vitamin B1) (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVB12,Vitamin B12 (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVB2,Riboflavin (Vitamin B2) (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVB6,Vitamin B6 (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVC,Vitamin C (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVD,Vitamin D (D2 + D3) (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TVK,Vitamin K (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TWS,"When you drink tap water, what is the main source of the tap water? Is the city water supply (community water supply); a well or rain cistern; a spring; or something else?","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TZINC,Zinc (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRABF,Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD340,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350A,Clams eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350AQ,Number of times clams were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350B,Crabs eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350BQ,Number of times crab was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350C,Crayfish eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350CQ,Number of times crayfish was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350D,Lobsters eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350DQ,Number of times lobster was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350E,Mussels eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350EQ,Number of times mussels were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350F,Oysters eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350FQ,Number of times oysters were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350G,Scallops eaten during the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350GQ,Number of times scallops were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350H,Shrimp eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350HQ,Number of times shrimp was eaten in the last 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350I,"Other shellfish ( ex. octopus, squid) eaten during past 30 days","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350IQ,"Number of times other shellfish (ex. octopus, squid) was eaten in the past 30 days","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350J,Other unknown shellfish eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350JQ,Number of times other unknown shellfish was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD350K,Refused to give detailed information on shellfish eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD360,"Please look at this list of fish. During the past 30 days did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads.","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370A,Breaded fish products eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370AQ,Number of times breaded fish products were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370B,Tuna eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370BQ,Number of times tuna was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370C,Bass eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370CQ,Number of times bass was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370D,Catfish eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370DQ,Number of times catfish was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370E,Cod eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370EQ,Number of times cod was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370F,Flatfish eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370FQ,Number of times flatfish was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370G,Haddock eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370GQ,Number of times haddock was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370H,Mackerel eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370HQ,Number of times mackerel was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370I,Perch eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370IQ,Number of times perch was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370J,Pike eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370JQ,Number of times pike was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370K,Pollock eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370KQ,Number of times pollock was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370L,Porgy eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370LQ,Number of times porgy was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370M,Salmon eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370MQ,Number of times salmon was eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370N,Sardines eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370NQ,Number of times sardines were eaten in the past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DRD370O,Sea bass eaten during past 30 days,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
